timestamp,demand_mw,temperature_c,humidity_percent,hour,dayofweek,quarter,month,year,dayofyear,demand_lag_24h,demand_lag_168h,demand_rolling_mean_24h,demand_rolling_std_24h,temp_squared,temp_x_humidity
2021-01-01 00:00:00,116.27471583797087,-8.249166621979004,82.63292047019152,0,4,1,1,2021,1,,,,,68.04874995717249,-681.6527294193495
2021-01-01 01:00:00,104.56047731697323,-0.0153475733793175,86.2117873103993,1,4,1,1,2021,1,,,,,0.00023554800863353521,-1.3231417319084666
2021-01-01 02:00:00,105.72610046793471,-4.678890665993117,80.5382818704187,2,4,1,1,2021,1,,,,,21.89201786431751,-376.8298152986247
2021-01-01 03:00:00,99.72407236330888,-4.5973887768400985,81.66441926147196,3,4,1,1,2021,1,,,,,21.135983565415298,-375.44308457985557
2021-01-01 04:00:00,95.61212214662216,-5.170552962230076,90.44952619927322,4,4,1,1,2021,1,,,,,26.73461793522621,-467.674065621959
2021-01-01 05:00:00,107.90201556757675,-6.566798897241092,84.00413562369958,5,4,1,1,2021,1,,,,,43.12284775680681,-551.6382651774015
2021-01-01 06:00:00,111.6087515473086,-6.45024367466314,83.04985761605867,6,4,1,1,2021,1,,,,,41.605643462531845,-535.6918187696568
2021-01-01 07:00:00,109.44654793667512,-4.155958085048216,94.38241959889666,7,4,1,1,2021,1,,,,,17.27198760467763,-392.2493798184477
2021-01-01 08:00:00,108.80241559284214,-1.999389405779897,89.2632245682663,8,4,1,1,2021,1,,,,,3.99755799594489,-178.47194552754345
2021-01-01 09:00:00,109.1188547096844,-2.188206255476199,94.85543751649696,9,4,1,1,2021,1,,,,,4.788246616505168,-207.5632617395304
2021-01-01 10:00:00,105.0562164544947,-1.49426610062876,92.333155214609,10,4,1,1,2021,1,,,,,2.23283117948828,-137.97030380128385
2021-01-01 11:00:00,99.09277442589232,-3.3852297822230764,79.67509906773319,11,4,1,1,2021,1,,,,,11.459780678450096,-269.71851826566444
2021-01-01 12:00:00,101.22559653062436,-9.53787147594505,86.07372007574776,12,4,1,1,2021,1,,,,,90.9709922916462,-820.9600795389533
2021-01-01 13:00:00,108.45259077706764,-1.3777034263155286,84.75236891192498,13,4,1,1,2021,1,,,,,1.898066730881547,-116.76362903831672
